,HomeTeam,AwayTeam,MW,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
50,Crystal Palace,Fulham,6,1.4,1.4,0,9,10,-1,0.4,0.4,0.2,0.2,0.4,0.4,1.2,1.0,1.4,2.0,-0.2,-1.0,15.0,9.2,5.8,2.6,12.4,13.8,2.8,7.0,3,0,7,4,1.2,1.6,1.2,2.8,12.0,9.2,10.4,18.0,5.2,3.6,2.8,10.0,1.2,1.6,0.4,0.4,0.0,0.4,0.4,0.4,1.62,1.46
51,Luton,Wolves,6,0.0,0.6,-3,20,17,3,0.0,0.2,0.0,0.0,1.0,0.8,0.6,1.0,2.4,2.2,-1.8,-1.2,12.2,14.6,2.0,3.8,16.4,15.6,5.8,7.0,0,0,0,3,0.8,1.2,1.6,1.6,13.6,18.4,9.2,18.4,1.6,4.8,2.8,8.4,0.0,1.2,0.0,0.4,0.0,0.0,0.8,0.8,1.588235294,1.431372549
52,Man City,Nott'm Forest,6,3.0,1.4,8,1,8,-7,1.0,0.4,0.0,0.2,0.0,0.4,2.8,1.4,0.6,1.4,2.2,0.0,19.4,10.4,8.2,3.4,6.2,14.2,2.2,4.8,3,3,12,6,2.4,1.6,0.4,2.0,8.4,8.8,5.2,21.6,3.6,3.6,2.0,7.2,2.4,1.2,0.8,0.4,0.0,0.0,0.0,0.8,1.576923077,1.423076923
53,Brentford,Everton,6,1.2,0.2,5,11,19,-8,0.2,0.0,0.6,0.2,0.2,0.8,1.6,0.4,1.2,1.8,0.4,-1.4,14.4,13.4,4.8,5.0,12.8,11.8,4.0,4.6,1,1,6,1,2.0,0.8,2.0,2.4,17.6,10.0,18.0,10.4,5.6,3.2,6.4,6.0,1.2,0.4,0.0,0.0,1.2,0.4,0.0,0.4,1.58490566,1.396226415
54,Burnley,Man United,6,0.8,1.2,-2,15,13,2,0.2,0.4,0.2,0.0,0.6,0.6,1.2,1.2,2.6,2.0,-1.4,-0.8,11.0,15.8,2.8,4.8,17.0,15.2,6.2,5.8,0,0,3,6,1.2,0.4,4.4,2.0,12.4,12.8,21.2,13.6,2.8,3.2,9.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,1.574074074,1.425925926
55,Arsenal,Tottenham,6,2.6,2.6,0,4,2,2,0.8,0.8,0.2,0.2,0.0,0.0,1.8,2.6,0.8,1.0,1.0,1.6,15.6,20.0,6.0,7.6,9.2,13.4,2.0,4.8,3,3,10,10,2.8,3.6,1.6,1.6,20.4,22.0,9.6,15.2,9.2,8.8,2.8,5.2,2.8,2.8,0.8,0.8,0.4,0.4,0.0,0.0,1.545454545,1.418181818
56,Brighton,Bournemouth,6,2.4,0.6,9,5,16,-11,0.8,0.0,0.0,0.6,0.2,0.4,3.0,0.8,1.4,1.6,1.6,-0.8,18.6,12.6,8.8,4.4,12.0,18.8,3.4,6.4,3,1,9,2,3.2,1.2,2.0,2.0,26.8,10.0,12.0,18.8,11.2,4.0,3.2,6.8,2.4,0.4,0.8,0.0,0.0,0.4,0.4,0.4,1.553571429,1.428571429
57,Chelsea,Aston Villa,6,1.0,1.8,-4,14,7,7,0.2,0.6,0.4,0.0,0.4,0.4,1.0,2.2,1.0,2.0,0.0,0.2,16.2,14.0,4.8,5.4,11.2,11.6,3.0,4.8,0,0,4,6,1.6,1.6,0.8,3.6,20.0,16.4,12.4,17.2,5.6,6.0,2.0,7.6,1.6,1.2,0.4,0.4,0.4,0.0,0.4,0.8,1.578947368,1.421052632
58,Liverpool,West Ham,6,2.6,2.0,3,3,6,-3,0.8,0.6,0.2,0.2,0.0,0.2,2.4,2.0,0.8,1.4,1.6,0.6,16.2,11.0,5.0,3.6,13.2,20.2,4.4,7.0,3,3,10,10,2.4,2.4,0.4,1.2,17.2,14.8,8.8,22.0,5.6,3.6,3.2,6.4,2.4,2.8,0.8,0.8,0.0,0.4,0.0,0.0,1.551724138,1.413793103
59,Sheffield United,Newcastle,6,0.2,1.2,-5,18,12,6,0.0,0.4,0.2,0.0,0.8,0.6,1.0,1.6,1.8,1.4,-0.8,0.2,8.2,13.0,3.8,5.2,22.8,13.0,7.4,4.4,1,0,1,3,1.2,0.4,2.0,1.6,10.8,6.4,28.0,11.6,4.4,1.2,9.2,4.0,0.4,0.0,0.0,0.0,0.4,0.0,0.8,0.8,1.576271186,1.406779661
